source_lemma,iaa_outcome,c_has_pair,a_has_pair,c_kalimat_asal,a_kalimat_asal,c_kalimat_tujuan,a_kalimat_tujuan,match_asal_strict,match_asal_normalized,match_asal_fuzzy,match_asal_fuzzy_score,match_tujuan_strict,match_tujuan_normalized,match_tujuan_fuzzy,match_tujuan_fuzzy_score,concatenation_candidate,outcome
arisan,agreed_extracted_match,True,False,arisan ibu-ibu PKK,,aresan ibuk-ibuk PKK,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
bantal,agreed_extracted_match,True,True,bantal guling,anta1 guling,bantal guling,bantal guling,False,False,False,0.5,True,True,True,1.0,False,wrong_extraction
bercorak,agreed_extracted_match,True,True,kain bercorak batik Pekalongan,'kaen bemerek batek Pekalongan' co.rat-co.ret n corat-cor; gamba yg tak titu,kaen bemerek batek Pekalongan,kain bercorak batik Pekalongan,False,False,False,0.243,False,False,False,0.385,True,wrong_extraction
berkirim,agreed_extracted_match,True,True,kami berkirim barang ini buat adinda di sana,'kami bekirem barang mi untok,kami bekirem barang ini untok adinde di sane,kami barang mi buat adinda di sana,False,False,False,0.245,False,False,False,0.358,False,wrong_extraction
cekikan,agreed_extracted_match,True,True,cekikannya kuat sekali,obat yg dibuat dr rempah yg dimasokkan ke mulot dng pakse,Cekekan die kuat betol,"nya kuat sei, 'Cekekan die kuat betol' ce.kok n cekok,",False,False,False,0.045,False,False,False,0.455,True,wrong_extraction
ciptaan,agreed_extracted_match,True,True,puisi itu ciptaannya,puisi itu buatan die,puisi itu buatan die,puisi itu —nva,False,False,False,0.286,False,False,False,0.364,False,wrong_extraction
eksplorasi,agreed_extracted_match,True,True,eksplorasi sumber minyak di daratan dan lepas pantai,daratan dan lepas pantai,penyelidekkan sumber minyak di darat dan lepas pantai,eksplorasi n peiyelidekkan menyelajah sumber minyak di,False,False,False,0.438,False,False,False,0.351,False,wrong_extraction
empas,agreed_extracted_match,True,True,dia mengempas diri di tempat tidurnya,' die manteng din dekat tempat tidonye,die manteng diri dekat tempat tidonye,dia meng-empas v empas banteng din di tempat tidurnya,False,False,False,0.208,False,False,False,0.267,False,wrong_extraction
gabungan,agreed_extracted_match,True,True,gabungan kayu itu kecil-kecil,'ikatan kayu itu kecik-kecik,ikatan kayu itu kecik-kecik,gabungan kayu itu kecil-kecil,False,False,False,0.484,False,False,False,0.484,False,wrong_extraction
gores,agreed_extracted_match,True,True,gores api,'pantek api,pantek api,gores api,False,False,False,0.154,False,False,False,0.154,False,wrong_extraction
gramatika,agreed_extracted_match,True,True,gramatika Melayu,'tate bahase Melayu,tate bahase Melayu,gramatika Melayu,False,False,False,0.2,False,False,False,0.2,False,wrong_extraction
horizon,agreed_extracted_match,True,True,menggapai horizon,'ngapai kaki langet,ngapai kaki langet,menggapai horizon,False,False,False,0.148,False,False,False,0.148,False,wrong_extraction
iseng,agreed_extracted_match,True,True,hanya iseng saja,'hanye maen-maen aje,hanye maen-maen aje,hanya iseng saja,False,False,False,0.074,False,False,False,0.074,False,wrong_extraction
jamban,agreed_extracted_match,True,True,menjaga kebersihan jamban berarti menjaga kesehatan,' nyage kebersehan kakos bearti nyage kesehatan,nyage kebersehan kakos bearti nyage kesehatan,menjaga kebersihan jamban berarti menjaga kesehatan,False,False,False,0.321,False,False,False,0.321,False,wrong_extraction
kandas,agreed_extracted_match,True,True,kapal yg kandas itu telah ditarik,'kapal yg sangkot itu lah diterek,kapal yg sangkot itu lah diterek,kapal yg kandas itu telah ditarik,False,False,False,0.326,False,False,False,0.326,False,wrong_extraction
karikatur,agreed_extracted_match,True,True,gambar karikatur itu sangat bagus,'gamba katon itu bagos betol,gamba katon itu bagos betol,gam bar karikatur itu sangat bagus,False,False,False,0.217,False,False,False,0.167,False,wrong_extraction
karung,agreed_extracted_match,True,True,belikan beras sekarung,rb e lik an beras sekantong,belikan beras sekantong,belikan beras se—,False,False,False,0.406,False,False,False,0.667,False,wrong_extraction
kegaduhan,agreed_extracted_match,True,True,kegaduhan itu semakin gawat,'kerusohan itu maken gawat,kerusohan itu maken gawat,itu semakin gawat,False,False,False,0.333,False,False,False,0.267,False,wrong_extraction
kekosongan,agreed_extracted_match,True,True,kekosongan hati,'kthanipean ati,kehampean ati,kekosongan hail,False,False,False,0.087,False,False,False,0.043,False,wrong_extraction
keluarga,agreed_extracted_match,True,True,ayah mengajak kami mengunjungi keluarga,ngajak kami bejumpe sanak sedare,bapak ngajak kami bejumpe sanak sedare,ayah mengajak kami mengunjungi 'bapak,False,False,False,0.189,False,False,False,0.245,False,wrong_extraction
kepiting,agreed_extracted_match,True,True,kepiting bangkang,'ketam bangkang' (ketam yg idop dl bakau,ketam bangkang,kepiting frarrgkang,False,False,False,0.154,False,False,False,0.12,True,wrong_extraction
konsespsi,agreed_extracted_match,True,False,konsespsi nilai Gurindam 12,,pengertian nilai Gurindam 12,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
koran,agreed_extracted_match,True,False,koran Riau Pos,,surat kaba Riau Pos,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
lembaga,agreed_extracted_match,True,True,semalam aku jumpa lembaga,'semalam aku jumpe hantu,semalam aku jumpe hantu,semalam aku jumpa lembaga,False,False,False,0.467,False,False,False,0.467,False,wrong_extraction
lipstik,agreed_extracted_match,True,False,lipstik merah muda,,gincu merah mude,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
loak,agreed_extracted_match,True,True,buang kertas itu dl loak,'buang kertas itu dl bakol sampah,buang kertas itu dl bakol sampah,buang kertas itu dl —,False,False,False,0.529,False,False,False,0.581,False,wrong_extraction
longgar,agreed_extracted_match,True,False,baju yg kupakai longgar,,baju yg kupakai besa,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
mabuk,agreed_extracted_match,True,False,"karena minum arak, mereka jadi mabuk",,"karene minom arak, mereke jadi naneng",,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
makna,agreed_extracted_match,True,True,kepergianku ke sini membawa makna,'kepergianku ke sini mawak maksod,kepergianku ke sini mawak maksod,kepergianku ke sinE membawa makna,False,False,False,0.579,False,False,False,0.463,False,wrong_extraction
mayat,agreed_extracted_match,True,True,mayatnya telah dikuburkan,jaiazahnye lab dikubokan,jenazahnye lah dikubokan,mayat-nya telah dikuburkan,False,False,False,0.125,False,False,False,0.211,False,wrong_extraction
melawak,agreed_extracted_match,True,True,mereka melawak di panggung gembira,'mereke melucu di panggong gembira,mereke melucu di panggong gembira,mereka melawak-di panggung gembira,False,False,False,0.465,False,False,False,0.432,False,wrong_extraction
memabukkan,agreed_extracted_match,True,True,jauhilah minuman yg memabukkan,jaohi1ah minoman yg mengakibatkan mabok,jaohilah minoman yg mengakibatkan mabok,yg mengakibatkan mabok:jauhilah minuman yg memabukkan,False,False,False,0.255,False,False,False,0.588,False,wrong_extraction
memaparkan,agreed_extracted_match,True,True,masing-masing memaparkan pendapatnya,'masig-maseng mijeIaskan pidapainye,maseng-maseng menjelaskan pendapatnye,masing-masing memaparkan pendapatnya,False,False,False,0.224,False,False,False,0.463,False,wrong_extraction
membalut,agreed_extracted_match,True,True,ia membalut kakinya yang terluka,'ia membarut kakinye yang terluke,ia membarut kakinye yang terluke,ía membalut kakinya yang terluka,False,False,False,0.622,False,False,False,0.579,False,wrong_extraction
memimpin,agreed_extracted_match,True,False,memimpin tangan adiknya,,membimbeng tangan adeknye,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
memukul,agreed_extracted_match,True,True,dia memukul kakiku,'die memukol kakiku,die memukol kakiku,dia memukul kakiku,False,False,False,0.455,False,False,False,0.455,False,wrong_extraction
mendata,agreed_extracted_match,True,True,dia mendata kejadian itu,"'die menyusun date kejadian itu', pendata n pendata; pembukti; menyustm date",die menyusun date kejadian itu,"dia == kejadian itu,",False,False,False,0.3,False,False,False,0.333,True,wrong_extraction
mengajak,agreed_extracted_match,True,True,Amin mengajak temannya mengail,Amin ngajak kawannyepegi,Amin ngajak kawannye pegi ngael,Amin temannya mgai1,False,False,False,0.278,False,False,False,0.128,False,wrong_extraction
menggotong,agreed_extracted_match,True,True,kami menggotong kayu,'kami mawak kayu,kami mawak kayu,kami menggotong kayu,False,False,False,0.292,False,False,False,0.292,False,wrong_extraction
menggugah,agreed_extracted_match,True,True,nasihatnya menggugah hatiku,'nasehat die nyadakan ati aku,nasehat die nyadakan ati aku,nasihatnya menggugah hatiku,False,False,False,0.087,False,False,False,0.087,False,wrong_extraction
menghukum,agreed_extracted_match,True,True,pemerintah akan menghukum orang yg bersalah,'pemerentah akan ngukom orang yg besalah,pemerentah akan ngukom orang yg besalah,pemerintah akan menghukum orang yg bersalah,False,False,False,0.472,False,False,False,0.472,False,wrong_extraction
mengisap,agreed_extracted_match,True,True,dia mengisap biji mangga,'die ngolom bijik mangge,die ngolom bijik mangge,dia mengisap vtngisap ngirop nyedot ngolom byi mangga,False,False,False,0.194,False,False,False,0.208,True,wrong_extraction
mengukuhkan,agreed_extracted_match,True,True,kegunaan tiang adalah untuk mengukuhkan bangunan,adalah untuk bangunan,kegunean tiang adelah untok mempekuat bangonan,kegunaan Hang,False,False,False,0.429,False,False,False,0.102,False,wrong_extraction
menimbulkan,agreed_extracted_match,True,False,pekerjaanmu akan menimbulkan bencana,,pekerjeanmu akan berakibat bencane,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
menjunjung,agreed_extracted_match,True,True,ibu sedang menjunjung air,'mak lagi nyunjong ae,mak lagi nyunjong ae,ibu sedang menjunjung vi nyunjong air,False,False,False,0.086,False,False,False,0.263,False,wrong_extraction
menjurus,agreed_extracted_match,True,True,jalan ini menjurus ke pantai,jalan mi nuju ke pantai,jalan ini nuju ke pantai,teros nuju:ja/an mi menjurus vtmenjuros nuju ngarah kepantal,False,False,False,0.343,False,False,False,0.148,True,wrong_extraction
menyerempet,agreed_extracted_match,True,True,mobil itu menyerempet sepeda,'kerete itu menggesel seda,kerete itu menggesel sepeda,mobil itu menyerempet sepeda,False,False,False,0.225,False,False,False,0.308,False,wrong_extraction
meresapi,agreed_empty_other,False,True,,dikatakan orang itu,,dia apayg,False,False,False,0.0,False,False,False,0.0,False,FP
