source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
agak,agreed_extracted_match,True,kelihatannya ia agak pintar,kelihatannyo diok agak padek,kelihatannya ia agak pintar,'kelihatannyo diok agak padek,False,True,True,1.0,1.0,False,TP
ahli,agreed_extracted_match,True,dia seorang yg ahli menjalankan mesin itu,dio soghang yg padek nyalankan mesin itu,dia seorangyg ahii menjalankan mesin itu,'dio soghang yg padek nyalankan mesin itu,False,False,False,0.744,1.0,False,FN
ampun,agreed_extracted_match,True,setelah ia menyadari akan kesalahannya ia mina ampun,setelah dio nyadaghi akan kesalahannyo dio minta ampun,setelah ia menyadari akan kesalahannya ia mina,'setelah dio nyadaghi akan kesalahannyo dio minta ampun,False,False,True,0.867,1.0,False,FN
atau,agreed_extracted_match,True,"Anda boleh memilih yg mana saja majalah, buletin atau surat kabar","kau bole milih yg mano be majalah, bulatin atau sughat kabagh","Anda boleh memilih yg mana saja majalah, buletin atau surat kabar,","'kau bole milih yg mano be majalah, bulatin atau sughat kabagh",False,True,True,1.0,1.0,False,TP
badan,agreed_extracted_match,True,pulang main badan anak itu selalu kotor,balik main badan budak itu selalu kotogh,pulang main badan anak itu selalu kotor,'balik main badan budak itu selalu kotogh,False,True,True,1.0,1.0,False,TP
bahwa,agreed_extracted_match,True,ia mengira bahwa hari ini libur,dio ngigho bahwo haghi ko libugh,ia mengira bahwa hari mi libur,'dio ngigho bahwo haghi ko libugh,False,False,True,0.781,1.0,False,FN
baik,agreed_extracted_match,True,karangan bunga itu baik sekali,kaghangan bungo itu elok nian,karangan bunga itu baik sekali,'kaghangan bungo itu elok nian,False,True,True,1.0,1.0,False,TP
banditisme,agreed_extracted_match,True,operasi thd banditisme di ibu kota ditingkatkan,opeghasi teghhadap banditisme di ibu kota ditingkatkan,kader perlu ditingkatkan,'pembinaan kadegh peghlu ditingkatkan,False,False,False,0.231,0.191,False,FN
bapak,agreed_extracted_match,True,ia baru saja datang habis mengunjungi bapaknya di kampung,dio baghu datang habis ngunjungi bapaknyo di kampung,ia baru saja datang habis mengunjungi --nya di kampung,'dio baghu datang habis ngunjungi bapaknyo di kampung,False,False,True,0.821,1.0,False,FN
benang,agreed_extracted_match,True,menegakkan benang basah,negakkan benang basa,menegakkan benang basah,'negakkan benang basa,False,True,True,1.0,1.0,False,TP
