source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
anggogoh,agreed_extracted_match,True,anggogoh habang ai,burung anggogoh itu terbang,anggogoh habang ai,burung anggogoh itu terbang,True,True,True,1.0,1.0,False,TP
arsak,agreed_extracted_match,True,arsak ni bah,menimba air,arsak ni bah,menimba air,True,True,True,1.0,1.0,False,TP
asik,agreed_extracted_match,True,aha na asik ai,apa yang berbau busuk itu?,aha na asik ai,apa yang berbau busuk itu,False,True,True,1.0,1.0,False,TP
bagi,agreed_extracted_match,True,bagi ma duit ai,bagilah uang itu,bagi ma duit ai,bagilah uang itu,True,True,True,1.0,1.0,False,TP
baluhat,agreed_extracted_match,True,mangalop bah pakon baluhat kaka,kaka mengambil air pakai baluhat,mangalop bah pakon baluhat kaka,kaka mengambil air pakai baluhat,True,True,True,1.0,1.0,False,TP
banggor,agreed_extracted_match,True,banggor inang ni,ibunya sakit,banggor inang ni,ibunya sakit,True,True,True,1.0,1.0,False,TP
barah,agreed_extracted_match,True,barah lobei hujon,mari kesini dulu,barah lobei hujon,mari kesini dulu,True,True,True,1.0,1.0,False,TP
baringka,agreed_extracted_match,True,baringka soban ai,ikat kayu api itu,baringka soban ai,ikat kayu api itu,True,True,True,1.0,1.0,False,TP
bauk,agreed_extracted_match,True,marisi omei bauk ni dayok,tembolok ayam berisi padi,marisi omei bauk ni dayok,tembolok ayam berisi padi,True,True,True,1.0,1.0,False,TP
botou,agreed_extracted_match,True,botouhu roh hujon,adikku datang ke sini,botouhu roh hujon,adikku datang ke sini,True,True,True,1.0,1.0,False,TP
buhu,agreed_extracted_match,True,buhu ni tobu payah itagil,buku tebu sukar dipotong,buhu ni tobu payah itagil,buku tebu sukar dipotong,True,True,True,1.0,1.0,False,TP
butir,agreed_extracted_match,True,tolur tolu butir,tiga butir telur,tolur tolu butir,tiga butir telur,True,True,True,1.0,1.0,False,TP
daul,agreed_extracted_match,True,daul do parsahapanmu,lain saja pembicaraanmu,daul do parsahapanmu,lain saja pembicaraanmu,True,True,True,1.0,1.0,False,TP
deseng,agreed_extracted_match,True,deseng sorani bah,desing suara air,deseng sorani bah,desing suara air,True,True,True,1.0,1.0,False,TP
diha-diha,agreed_extracted_match,True,roh do ganup dihadiha tikki pesta ai,sanak keluarga semua datang waktu pesta itu,roh do ganup dihadiha tikki pesta ai,sanak keluarga semua datang waktu pesta itu,True,True,True,1.0,1.0,False,TP
dungkol,agreed_extracted_match,True,dungkol hu ahap duri naheiku,terasa duri mencungkil di kakiku,dungkol hu ahap duri naheiku,terasa duri men- cungkil di kakiku,False,False,True,1.0,0.824,False,FN
emur,agreed_no_pair,False,,,,,False,False,False,0.0,0.0,False,TN
gadam,agreed_extracted_match,True,"halak ai hona gadam, tene?","orang itu kena kusta, ya?","halak ai hona gadam, tene?","orang itu kena kusta, ya",False,True,True,1.0,1.0,False,TP
gajur,agreed_extracted_match,True,boltokni gajur,perutnya lapar,boltokni gajur,perutnya lapar,True,True,True,1.0,1.0,False,TP
goloh,agreed_extracted_match,True,goloh tumang bani garama ai,gigih sekali pemuda itu,goloh tumang bani garama ai,gigih sekali pemuda itu,True,True,True,1.0,1.0,False,TP
gondit,agreed_extracted_match,True,au mamboli gondit i tiga,aku membeli ikat pinggang di pekan,au mamboli gondit i tiga,aku membeli ikat pinggang di pekan,True,True,True,1.0,1.0,False,TP
gurapas,agreed_extracted_match,True,ia gurapas marlahoan,ia sangat ceroboh dalam bekerja,ia gurapas marlahoan,ia sangat ceroboh dalam bekerja,True,True,True,1.0,1.0,False,TP
harunrun,agreed_extracted_match,True,harunrun nami sihal tapi seng do baen,"banyak kemauan, tetapi tidak terpenuhi",harunrun nami sihal tapi seng do baen banyak kemauan,tetapi tidak terpenuhi,False,False,False,0.702,0.588,False,FN
hirah,agreed_extracted_match,True,hirah lobei parang ai!,asah dulu parang itu!,hirah lobei parang ai!,asah dulu parang itu,False,True,True,1.0,1.0,False,TP
huat,agreed_extracted_match,True,huat do hape ia mangangkat batu ai,ia kuat betul mengangkat batu itu,huat do hape ia mangangkat batu ai,ia kuat betul mengangkat batu itu,True,True,True,1.0,1.0,False,TP
hutik,agreed_extracted_match,True,ia mangindo hutik duit bani inangni,dia meminta sedikit uang kepada ibunya,ia mangindo hutik duit bani inangni,dia meminta sedikit uang kepada ibunya,True,True,True,1.0,1.0,False,TP
idopok,agreed_extracted_match,True,idopok halak do tobu laho mambuatsi,dipatahkan orang tebu itu dan dibawa,idopok halak do tobu laho mambuatsi,dipatahkan orang tebu itu dan dibawa,True,True,True,1.0,1.0,False,TP
iporam,agreed_extracted_match,True,iporam mangga ase mabei,mangga diperam supaya masak,iporam mangga ase mabei,mangga di- peram supaya masak,False,False,True,1.0,0.793,False,FN
isumsam,agreed_extracted_match,True,taboh do hape dekke na isumsam,enak rasanya ikan yang disembam,taboh do hape dekke na isumsam,enak rasanya ikan yang di- sembam,False,False,True,1.0,0.818,False,FN
itilpak,agreed_extracted_match,True,mase itilpak bunga on?,mengapa dipetik bunga ini?,mase itilpak bunga on?,mengapa dipetik bunga ini,False,True,True,1.0,1.0,False,TP
itioshon,agreed_extracted_match,True,otik pe lang itioshonni hita,sedikitpun kita tidak diabaikannya,otik pe lang itioshonni hita,sedikitpun kita tidak diabaikannya,True,True,True,1.0,1.0,False,TP
itunila,agreed_extracted_match,True,mase lang itunila holah tompoh ai?,mengapa tidak disapu saja sampah itu?,mase lang itunila holah tompoh ai?,mengapa tidak disapu saja sampah itu,False,True,True,1.0,1.0,False,TP
jerat,agreed_extracted_match,True,jerat ni halak na matei i jai,makam orang yang mati itu di sana,jerat ni halak na matei i jai,makam orang yang mati itu di sana,True,True,True,1.0,1.0,False,TP
jonggur,agreed_extracted_match,True,rumah na jonggur,rumah yang kokoh,rumah na jonggur,rumah yang kokoh,True,True,True,1.0,1.0,False,TP
kaho,agreed_extracted_match,True,aha kahoni ?,apakah jaminannya?,aha kahoni ?,apakah jaminannya,False,True,True,1.0,1.0,False,TP
lambak,agreed_extracted_match,True,tobal do lambak ni galuh ai!,tebalnya lapis pisang itu tebal,tobal do lambak ni galuh ai,! tebalnya lapis pisang itu tebal,False,True,True,1.0,1.0,False,TP
lansei,agreed_extracted_match,True,halani marguro-guro lansei ia horjahon i rumah,karena bermain-main ia lalai pada pekerjaannya di rumah,halani marguro-guro lansei ia horjahon i rumah,karena bermain-main ia lalai pada pekerjaannya di rumah,True,True,True,1.0,1.0,False,TP
lantang,agreed_extracted_match,True,lantang do rumah nami,rumah kami luas,lantang do rumah nami,rumah kami luas,True,True,True,1.0,1.0,False,TP
lantos,agreed_extracted_match,True,ulang ma lantos tu,jangan terlalu pintar,ulang ma lantos tu,jangan terlalu pintar,True,True,True,1.0,1.0,False,TP
layangi,agreed_extracted_match,True,hu layangi ho,kamu kulangkahi,hu layangi ho,kamu kulangkahi,True,True,True,1.0,1.0,False,TP
lintagtag,agreed_extracted_match,True,lintagtag madabuh humbani bulung ni hawei,titik hujan jatuh dari daun keladi,lintagtag madabuh humbani bulung ni hawei,titik hujan jatuh dari daun keladi,True,True,True,1.0,1.0,False,TP
losei,agreed_extracted_match,True,"anggo domma losei, mulak ma!","kalau sudah selesai, pulanglah!","anggo domma losei, mulak ma!","kalau sudah selesai, pulanglah",False,True,True,1.0,1.0,False,TP
majol,agreed_extracted_match,True,majol pisor min do i boan ho,tumpul sekali pisau yang kamu bawa,majol pisor min do i boan ho,tumpul sekali pisau yang kamu bawa,True,True,True,1.0,1.0,False,TP
mal-mal,agreed_extracted_match,True,parau ai mal-mal i hunduli,rumput itu hampir mati diduduki,parau ai mal-mal i hunduli,rumput itu hampir mati diduduki,True,True,True,1.0,1.0,False,TP
mambotoh,agreed_extracted_match,True,ganup do halak mambotoh duit,semua orang mengetahui tentang uang,ganup do halak mambotoh duit,semua orang mengetahui tentang uang,True,True,True,1.0,1.0,False,TP
manderset,agreed_extracted_match,True,manderset mando ai halani naborit,dia tidak bergerak lagi karena sakit,manderset mando ai halani naborit,dia tidak bergerak lagi karena sakit,True,True,True,1.0,1.0,False,TP
manghonongi,agreed_extracted_match,True,manghonongi unong,menyelami lubuk,manghonongi unong,menyelami lubuk,True,True,True,1.0,1.0,False,TP
mangiligi,agreed_extracted_match,True,mangiligi na mateian,menjenguk yang kematian,mangiligi na mateian,men- jenguk yang kematian,False,False,True,1.0,0.76,False,FN
mangupir,agreed_extracted_match,True,lalap mangupir do tong uluni anggo isuruh,kepalanya selalu menggeleng kalau disuruh,lalap mangupir do tong uluni anggo isuruh,kepalanya selalu menggeleng kalau disuruh,True,True,True,1.0,1.0,False,TP
martartar,agreed_extracted_match,True,bahat duitni martartar i jai,banyak uangnya berserak di sana,bahat duitni martartar i jai,banyak uangnya berserak di sana,True,True,True,1.0,1.0,False,TP
masa,agreed_extracted_match,True,aha na masa i Saribudolok?,apa yang terjadi si Seribudolok?,aha na masa i Saribudolok?,apa yang terjadi si Seribudolok,False,True,True,1.0,1.0,False,TP
mayap,agreed_extracted_match,True,tuktukku mayap i ombus logou,topiku terbang di hembus angin,tuktukku mayap i ombus logou,topiku terbang di hembus angin,True,True,True,1.0,1.0,False,TP
milas,agreed_extracted_match,True,mesin kareta ai milas tumang halani dommah dokkah mardalan,mesin kereta itu panas sekali karena sudah lama berjalan,mesin kareta ai milas tumang halani dommah dokkah mardalan,mesin kereta itu panas sekali karena sudah lama berjalan,True,True,True,1.0,1.0,False,TP
mumuk,agreed_extracted_match,True,kaen ai domma mukmuk,kain itu sudah buruk,kaen ai domma mukmuk,kain itu sudah buruk,True,True,True,1.0,1.0,False,TP
munjar,agreed_extracted_match,True,ia manliar munjar dassa,dia berpidato atas keinginannya sendiri,ia manliar munjar dassa,dia berpidato atas keinginannya sendiri,True,True,True,1.0,1.0,False,TP
naenei,agreed_extracted_match,True,sonaima naenei ompung mubah,semoga nenek sembuh kembali,sonaima naenei ompung mubah,semoga nenek sembuh kembali,True,True,True,1.0,1.0,False,TP
naporon,agreed_extracted_match,True,adong do ulog i naporon,ular ada disemak-semak,adong do ulog i naporon,ular ada disemak-semak,True,True,True,1.0,1.0,False,TP
