source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
arisan,agreed_extracted_match,True,arisan ibu-ibu PKK,aresan ibuk-ibuk PKK,ibu-ibu PKK,'aresan ibuk-ibuk PKK,False,False,False,0.533,1.0,False,FN
bantal,agreed_extracted_match,True,bantal guling,bantal guling,guling,anta1 guling,False,False,False,0.364,0.5,False,FN
bercorak,agreed_extracted_match,True,kain bercorak batik Pekalongan,kaen bemerek batek Pekalongan,kain corak batik Pekalongan,'kaen bemerek batek Pekalongan' 69 co.rat-co.ret n corat-cor; gamba yg tak titu,False,False,False,0.767,0.388,True,FN
berkirim,agreed_extracted_match,True,kami berkirim barang ini buat adinda di sana,kami bekirem barang ini untok adinde di sane,kami barang mi buat adinda di sana,'kami bekirem barang mi untok,False,False,False,0.651,0.523,False,FN
cekikan,agreed_extracted_match,True,cekikannya kuat sekali,Cekekan die kuat betol,perangainya kejar sekali,'perangai die koto betol,False,False,False,0.235,0.242,False,FN
ciptaan,agreed_extracted_match,True,puisi itu ciptaannya,puisi itu buatan die,puisi itu —nva,puisi itu buatan die,False,False,False,0.364,1.0,False,FN
eksplorasi,agreed_extracted_match,True,eksplorasi sumber minyak di daratan dan lepas pantai,penyelidekkan sumber minyak di darat dan lepas pantai,sumber minyak di,daratan dan lepas pantai,False,False,False,0.292,0.346,False,FN
empas,agreed_extracted_match,True,dia mengempas diri di tempat tidurnya,die manteng diri dekat tempat tidonye,dia meng-- din di tempat tidurnya,' die manteng din dekat tempat tidonye,False,False,False,0.59,0.806,False,FN
gabungan,agreed_extracted_match,True,gabungan kayu itu kecil-kecil,ikatan kayu itu kecik-kecik,kayu itu kecil-kecil,'ikatan kayu itu kecik-kecik,False,False,False,0.625,1.0,False,FN
gores,agreed_extracted_match,True,gores api,pantek api,api,'pantek api,False,False,False,0.143,1.0,False,FN
gramatika,agreed_extracted_match,True,gramatika Melayu,tate bahase Melayu,Melayu,'tate bahase Melayu,False,False,False,0.286,1.0,False,FN
horizon,agreed_extracted_match,True,menggapai horizon,ngapai kaki langet,menggapai horizon,'ngapai kaki langet,False,True,True,1.0,1.0,False,TP
iseng,agreed_extracted_match,True,hanya iseng saja,hanye maen-maen aje,hanya ekor saja,'hanye maen-maen aje,False,False,False,0.35,1.0,False,FN
jamban,agreed_extracted_match,True,menjaga kebersihan jamban berarti menjaga kesehatan,nyage kebersehan kakos bearti nyage kesehatan,menjaga kebersihan jamban berarti menjaga kesehatan,' nyage kebersehan kakos bearti nyage kesehatan,False,True,True,1.0,1.0,False,TP
kandas,agreed_extracted_match,True,kapal yg kandas itu telah ditarik,kapal yg sangkot itu lah diterek,kapal yg kandas itu telah ditarik,'kapal yg sangkot itu lah diterek,False,True,True,1.0,1.0,False,TP
karikatur,agreed_extracted_match,True,gambar karikatur itu sangat bagus,gamba katon itu bagos betol,gam bar karcis itu sangat bagus,'gamba katon itu bagos betol,False,False,False,0.553,1.0,False,FN
karung,agreed_extracted_match,True,belikan beras sekarung,belikan beras sekantong,belikan beras se—,rb e lik an beras sekantong,False,False,False,0.667,0.607,False,FN
kegaduhan,agreed_extracted_match,True,kegaduhan itu semakin gawat,kerusohan itu maken gawat,itu semakin gawat,'kerusohan itu maken gawat,False,False,False,0.6,1.0,False,FN
kekosongan,agreed_extracted_match,True,kekosongan hati,kehampean ati,hati,'ketenangan ati,False,False,False,0.154,0.211,False,FN
keluarga,agreed_extracted_match,True,ayah mengajak kami mengunjungi keluarga,bapak ngajak kami bejumpe sanak sedare,ayah mengajak kami mengunjungi,'bapak ngajak kami bejumpe sanak sedare,False,False,False,0.735,1.0,False,FN
kepiting,agreed_extracted_match,True,kepiting bangkang,ketam bangkang,ruang angkase;,angkase lua,False,False,False,0.2,0.176,False,FN
konsespsi,agreed_extracted_match,True,konsespsi nilai Gurindam 12,pengertian nilai Gurindam 12,lomba baca gurindam dua be/as dilaksanakan esok pagE,'lombe pembacean gurindam due belas dilaksanekan esok pagi,False,False,False,0.138,0.143,True,FN
koran,agreed_extracted_match,True,koran Riau Pos,surat kaba Riau Pos,Riau Pos,surat kaba Riau Pos,False,False,False,0.5,1.0,False,FN
lembaga,agreed_extracted_match,True,semalam aku jumpa lembaga,semalam aku jumpe hantu,semalam aku jumpa lembaga,'semalam aku jumpe hantu,False,True,True,1.0,1.0,False,TP
lipstik,agreed_extracted_match,True,lipstik merah muda,gincu merah mude,merah muda,'gincu merah mude,False,False,False,0.5,1.0,False,FN
loak,agreed_extracted_match,True,buang kertas itu dl loak,buang kertas itu dl bakol sampah,buang kertas itu dl —,'buang kertas itu dl bakol sampah,False,False,True,0.783,1.0,False,FN
longgar,agreed_extracted_match,True,baju yg kupakai longgar,baju yg kupakai besa,baju yg kupakai,'baju yg kupakai besa,False,False,False,0.619,1.0,False,FN
mabuk,agreed_extracted_match,True,"karena minum arak, mereka jadi mabuk","karene minom arak, mereke jadi naneng","karena minum arak, mere/ca jadi","mabuk, 'karene minom arak, merekejadi naneng",False,False,False,0.658,0.727,False,FN
makna,agreed_extracted_match,True,kepergianku ke sini membawa makna,kepergianku ke sini mawak maksod,kepergianku ke sinE membawa makna,'kepergianku ke sini mawak maksod,False,False,True,0.824,1.0,False,FN
mayat,agreed_extracted_match,True,mayatnya telah dikuburkan,jenazahnye lah dikubokan,nya telah dikuburkan,jaiazahnye lab dikubokan,False,False,False,0.783,0.571,False,FN
melawak,agreed_extracted_match,True,mereka melawak di panggung gembira,mereke melucu di panggong gembira,mereka pancing di pantai,'merekengedek di pantaf,False,False,False,0.268,0.214,False,FN
memabukkan,agreed_extracted_match,True,jauhilah minuman yg memabukkan,jaohilah minoman yg mengakibatkan mabok,yg mengakibatkan mabok:jauhilah minuman yg mabuk,jaohi1ah minoman yg mengakibatkan mabok,False,False,False,0.533,0.846,False,FN
memaparkan,agreed_extracted_match,True,masing-masing memaparkan pendapatnya,maseng-maseng menjelaskan pendapatnye,masing-masing memaparkan pendapatnya,'masig-maseng mijeIaskan pidapainye,False,False,False,1.0,0.348,False,FN
membalut,agreed_extracted_match,True,ia membalut kakinya yang terluka,ia membarut kakinye yang terluke,kakinya abses,'kakinye putos,False,False,False,0.171,0.171,False,FN
memimpin,agreed_extracted_match,True,memimpin tangan adiknya,membimbeng tangan adeknye,tan gan adiknya,'membimbeig tangan adeknye,False,False,False,0.435,0.769,False,FN
memukul,agreed_extracted_match,True,dia memukul kakiku,die memukol kakiku,dia pukul kakiku,'die memukol kakiku,False,False,False,0.579,1.0,False,FN
mendata,agreed_extracted_match,True,dia mendata kejadian itu,die menyusun date kejadian itu,"dia == kejadian itu,","'die menyusun date kejadian itu', pendata n pendata; pembukti; menyustm date",False,False,False,0.48,0.491,True,FN
mengajak,agreed_extracted_match,True,Amin mengajak temannya mengail,Amin ngajak kawannye pegi ngael,Amin temannya mgai1,Amin ngajak kawannyepegi,False,False,False,0.464,0.69,False,FN
menggotong,agreed_extracted_match,True,kami menggotong kayu,kami mawak kayu,kami gosok kayu,'kami mawak kayu,False,False,False,0.24,1.0,False,FN
menggugah,agreed_extracted_match,True,nasihatnya menggugah hatiku,nasehat die nyadakan ati aku,nasihatnya gugah hatiku,'nasehat die nyadakan ati aku,False,False,False,0.692,1.0,False,FN
menghukum,agreed_extracted_match,True,pemerintah akan menghukum orang yg bersalah,pemerentah akan ngukom orang yg besalah,pemerintah akan hukum orang yg bersalah,'pemerentah akan ngukom orang yg besalah,False,False,True,0.814,1.0,False,FN
mengisap,agreed_extracted_match,True,dia mengisap biji mangga,die ngolom bijik mangge,dia isap byi mangga,'die ngolom bijik mangge,False,False,False,0.444,1.0,False,FN
mengukuhkan,agreed_extracted_match,True,kegunaan tiang adalah untuk mengukuhkan bangunan,kegunean tiang adelah untok mempekuat bangonan,untuk membuat gula adalah tebu,'bahan untok muat gule adelah tebu,False,False,False,0.211,0.254,False,FN
menimbulkan,agreed_extracted_match,True,pekerjaanmu akan menimbulkan bencana,pekerjeanmu akan berakibat bencane,pekerjaan angker,pekerjean yg bedose,False,False,False,0.216,0.231,False,FN
menjunjung,agreed_extracted_match,True,ibu sedang menjunjung air,mak lagi nyunjong ae,ibu sedang junjung air,'mak lagi nyunjong ae,False,False,False,0.727,1.0,False,FN
menjurus,agreed_extracted_match,True,jalan ini menjurus ke pantai,jalan ini nuju ke pantai,jalan ke rumahnva belok kantin,jalan ke rumahnya belok kann,False,False,False,0.149,0.143,False,FN
menyerempet,agreed_extracted_match,True,mobil itu menyerempet sepeda,kerete itu menggesel sepeda,mobil itu serempet sepeda,'kerete itu menggesel seda,False,False,False,0.714,0.846,False,FN
meresapi,agreed_empty_other,False,,,,,False,False,False,0.0,0.0,False,TN
mode,agreed_extracted_match,True,mengikuti mode berpakaian,mengikot gaye bepakaian,mengikuti mode berpakaian,meiigikot gaye bepakaian,False,False,False,1.0,0.72,False,FN
motivasi,agreed_extracted_match,True,beliau yg memberikan motivasi agar aku tetap sekolah,beliau yg merikan sokongan agar aku tetap sekolah,beliau yg memberikan — agar aku tetap sekolah,'beliau yg merikan sokongan agar aku tetap sekolah,False,False,True,0.755,1.0,False,FN
panjar,agreed_extracted_match,True,"sbg tanda jadi, kami membayar panjar separuh","sbg tande jadi, kami maya cengkeram separoh","sbg tanda jadi, kami membayar panjang 289 separuh,","'sbg tande jadi, kami maya caigkeram saroh",False,False,False,0.796,0.702,False,FN
