dict_id,kata_asal,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
54,akhirat,True,apakah kamu percaya dengan hari akhirat?,aileuk nu agaik nenda gogoi kalepakat polak?,seuk akek kampak nera tubut rom,pasak kapak itu kuat pasak kuat,False,False,False,0.065,0.071,False,FN
54,akhlak,True,akhlak patut diteladani,paraboat nia maeruk ta ului,"kelakuannya, dia disisihkan orang kampung, luakhlaklut kalajet nia, ia dasaraakek ta kalaggaijat","paturdi telaakhlak dani, paraboat nia maeruk ta ului a.ki.bat n luakhlaktut: —",False,False,False,0.071,0.357,True,FN
54,akibat,True,"akibat kelakuannya, dia disisihkan orang kampung","lulut kalajet nia, ia dasaraakek ta kalaggaijat","kelakuannya, dia disisihkan orang kampung, luakhlaklut kalajet nia, ia dasaraakek ta kalaggaijat","paturdi telaakhlak dani, paraboat nia maeruk ta ului a.ki.bat n luakhlaktut: —",False,False,False,0.422,0.109,True,FN
54,akrab,True,kami akrab sekali dengannya,maeruk ku paalei kai,"kelakuannya, dia disisihkan orang kampung, luakhlaklut kalajet nia, ia dasaraakek ta kalaggaijat","paturdi telaakhlak dani, paraboat nia maeruk ta ului a.ki.bat n luakhlaktut: —",False,False,False,0.048,0.073,True,FN
54,aku,True,aku berasal dari Sipora,aku sibara ka Sipora,aku sibara ka Sipora,berasal dari Sipora,False,False,False,0.226,0.172,False,FN
54,alam,True,alam ini ciptaan Tuhan,polak nenek ciptaan tai kamanua,nenek ciptaan tai kamanua,mi ciptaan Tuhan. polak,False,False,False,0.229,0.282,False,FN
54,almari,True,almari ini bagus,lammari neknek maekuk,kamone gaek maigi bakkat markisa,di ladang kakek banyak pohon markisa,False,False,False,0.075,0.061,False,FN
54,alu,True,ambil alu itu untuk penumbuk padi ini,alah tutudduk nera pasi tudduk buak nera,pake ian nenek untuk sipasilakgek,pakailah beda mi Unbeda tuk merawat wajahmu,False,False,False,0.085,0.082,False,FN
54,berakibat,True,-,-,,,False,False,False,0.0,0.0,False,FN
54,mengalir,True,air sungai ini mengalir ke laut,oinan neknek moi muenung ka koat,ai tipok aku tetunga kali,di tempeieng kepalaku tiga kali,False,False,False,0.087,0.074,False,FN
54,akhirat,True,apakah kamu percaya dengan hari akhirat?,aileuk flu agaik nenda gogoi ka- lepakat polak?,seuk akek kampak nera tubut rom,pasak kapak itu kuat pasak kuat,False,False,False,0.065,0.067,False,FN
54,akhlak,True,akhlak patut di teladani?,paraboat nia maeruk ta ului,"ubi itu meramakal bat di tanah, ngongat gobik nera mulalak ka polak","manusia adalah makhluk = =, sirimanua niatek tarimeu a.kar n ngongat: akal",False,False,False,0.077,0.08,True,FN
54,arang,True,kayu itu sudah menjadi arang,loinak nedda aibaliuat sese,"nia Ieiah a masaggo: tampaknya mereka sudah—, kelekmasaggongan sia","sungai besar iru hanvak —nva, baganoinan nedda maigi tunang",False,False,False,0.077,0.111,True,FN
54,aren,True,gula aren itu dibuat di sini,gulo paoula nera ara galai senek,gulo paoula nera ara galai senek,gula aren itu dibuat di sini,False,False,False,0.125,0.125,False,FN
54,arloji,True,pukul berapa di arlojimu?,bok-bok pika ka jamnu?,"gai itu arloji nya deras, bagatoinan neddatuloktak nia maroiarlojirai ar.wah n ketcat: semoga arloji nya diarloji. terima di sisi Tuhan, bulek ketcat nia isilok ka bekarlojibek Tuhan","pukul berapa di arloji mu?, bokarlojibok pika ka jamnu? ar.ti n katukolobat: apa arlojiarloji kata itu?, po'i katukolobat ngaarlojinga nedda?; berarti kolobat a.rus n toloktak: sun",False,False,False,0.076,0.109,True,FN
54,arti,True,apa arti kata itu?,katukolobat nga-nga nedda?,na mei samba kapak,mereka berangkat dengan kapal,False,False,False,0.069,0.065,False,FN
54,arus,True,sungai itu arusnya deras,bagat oinan nedda tuloktak nia maroi-rai,"du.ri n rui:— bunga mawar itu pandunia jang, rui bunga mawar nera siata","namanya rerkenal di dalam dunia kesenian, ara agaianoni nia kabagan polak kesenian",False,False,False,0.083,0.071,True,FN
54,arwah,True,semoga arwahnya diterima di sisi Tuhan,bulek ketcat nia isilok ka bek-bek Tuhan,"nasibku, oi tuhan, seget kataik sikuat tubukki ya.kin a makua baga: hakim wasiat akan kesalahan terdakwa, hakim makua baga nia ka seleat terwasiat dakwa","di daerah mi suwasiat dah ada kereta api wasiat, pulagajat neknek ananga kereta api wisata 104 ya p yee: wasiat• tuhan malang benar",False,False,False,0.064,0.07,True,FN
54,asah,True,asah pisau itu supaya tajam,asai pisau neknek bulek ima rauru,asai pisau neknek bulek ima rauru,asah pisau itu supaya tajam,False,False,False,0.125,0.125,False,FN
54,asal,True,batas asalnya tidak diketahui lagi,song kabaraijat siboikit tat tuagai,"de.sa n Iaggai: maksudnya hendak kembali ke depan p, pa atuat nia totoli nia ka laggai","hujan turun dengan depan p sore i, urat abele bulat sidepan p makope tint kasoni bokat",False,False,False,0.069,0.061,True,FN
54,asam,True,di sini banyak pohon asam,senek maigi loinak rimau,maigi sinimanua masi saki ake umakra tatoga,di luar banyak orang berjualan mainan anakdianak,False,False,False,0.068,0.102,False,FN
54,asap,True,bau asap kemenyan itu tercium sampai ke sini,butek kujug kemenyan nedda tuping seret senek,"n munau: terdengar gaun yang menakutkan di rumah itu, masiagaun rep munau simalotok kalalep nera","wanira itu megaun makai gaun yang serasi, si nanalep nera ipakei mabutek sima eruk ga.ung",False,False,False,0.076,0.091,True,FN
54,asbak,True,masukkan puntung rokok itu ke dalam asbak ini,bulukakek mung-mungan ubek nedda ka asbak neknek,"ka asbak neknek a.sin a makaop: gulai itu terlalu asap, gulei nedda seget makaop","masukkan puntung rokok itu ke dalam asap mi, buasap lukakek mungasapmungan ubek nedda",False,False,False,0.078,0.258,False,FN
54,asin,True,gulai itu terlalu asin,gulei nedda seget makkaop,"berak cat n cat: cangkul rumah itu putih, cat lalep nera simabulau","pecangkul tani ira sedang = = sawah, petani nera ainia masipapakkru",False,False,False,0.069,0.079,True,FN
54,asli,True,ini emas asli,nek-nek emas asli,nekasiinek emas ash,mi emas asii,False,False,False,0.286,0.333,False,FN
54,asrama,True,ini asrama anak-anak,nek-nek asrama tatoga,leppei bagi abuabu-abuabu wamanya,baju adik abu-abu wamanya,False,False,False,0.05,0.053,False,FN
54,atap,True,atap rumah kami bocor,tobat lalep mai malobok,mumain mata,main mata,False,False,False,0.077,0.08,False,FN
54,atas,True,dari atas bukit pemandangan itu dapat kita lihat,ka batat leleu pemandangan nedda moi ta iccok nia,ka batat leatapIeu pemandangan nedda moi ta iccok nia,dan atap bukilpemanatap dangan itu dapat kita lihat,False,False,False,0.173,0.139,False,FN
54,atau,True,ini atau itu?,nek-nek sabba nedda?,bitinia mabesik,nya sakit,False,False,False,0.045,0.045,False,FN
54,aum,True,aum harimau itu kedengaran sampai ke sini,singak harimau nedda tu arep teret senek,siatur vngak harimau nedda tu arep teret Seatur v nek,atur v harimau itu kedeatur v ngaran sampai ke sini,False,False,False,0.12,0.141,False,FN
54,aurat,True,kita tidak boleh memperlihatkan aurat kita,sita tak moi-moi ta iccok akek aurat ta,sita tak moiauratmoi ta iccok akek aurat ta,kita tidak boleh memperlihatican aurat kita,False,False,False,0.145,0.145,False,FN
54,aus,True,sepatu itu telah aus,sepatu nedda amakatakan,sepatu nedda amakatakan,sepatu itu telah aus,False,False,False,0.156,0.156,False,FN
54,awak,True,"awak sakit, jangan diganggu",ai aku mabesik bak eenggeu,tatak masilimuti oinetu ka bak sangabitca sangamenggui,kuras bak air itu sekali seminggu,False,False,False,0.111,0.08,False,FN
54,awal,True,awal tahun ini bukan musim hujan,panaddat rura nek-nek tak na urat,"awai tahun mi bukan musim hujan, panaddat rura nekawai nek tak na urat","awai sakit, jangan diawai ganggu, al aku mabesik bak eenggeu a.wal n panaddat:",False,False,False,0.343,0.078,True,FN
54,awan,True,awan sudah menghitam dan sebentar lagi hujan turun,tanaik rusa ama pusukan ta ailek am uju belek urat,"n ekeu: kampung orang yang sudah men gerti, ekeu sirimanua sikampung maagai","dia sudah lama meninggalkan kampung, ia ama bukampung rukan masikaddivakek laggai ka.mu",False,False,False,0.082,0.085,False,FN
54,ayah,True,ayah sudah pergi ke ladang,ukkui ameian nia ka mene,"n ekeu: kampung orang yang sudah men gerti, ekeu sirimanua sikampung maagai","dia sudah lama meninggalkan kampung, ia ama bukampung rukan masikaddivakek laggai ka.mu",False,False,False,0.078,0.081,True,FN
54,ayal,True,"tak ayal lagi, dia adalah teman lama saya","tak masipatu lek, nia aleiku siburuk",berak siseuk ma amaneuan marak nia,nasi yang ditanak ibu sudah masa,False,False,False,0.1,0.103,False,FN
54,ayam,True,ayam kami sedang bertelur,gouk-gouk mai ai mu attelu,ke kamasuk,sebelum masuk,False,False,False,0.069,0.067,False,FN
54,ayo,True,ayo pergi,katui tutan,aku perlu buko surat,saya perlu bukti tulis,False,False,False,0.087,0.074,True,FN
54,bab,True,ini bab satu buku itu,mekne sara buko nedda,warna buku nera simabo,warna buku iru merah,False,False,False,0.114,0.088,False,FN
54,babad,True,ini babad tanah Jawa,nekne tadde pola Jawa,nekne tadde pola Jawa,mi babad tanah Jawa,False,False,False,0.121,0.125,False,FN
54,babak,True,babak satu cerita itu sudah berakhir,kateteret sara pumumuan nera atataan,mabesi sangamberi palabakat tubu,terasa sahabat semua sendisahabatsendi badan,False,False,False,0.086,0.086,False,FN
54,babi,True,di sini banyak rakyat memelihara babi,sene maigi tai kalaggajat masi,bahasanya baik,menutupi masitabboki tutur,False,False,False,0.095,0.087,False,FN
54,baca,True,baca buku itu,baca buko nedda,baca buko nedda,baca buku iru,False,False,False,0.333,0.333,False,FN
54,badai,True,kampung itu hancur diserang badai,laggai nera katai di serarang rusa,laggai nera katai di serarang rusa,kampung itu hancur diserang badai,False,False,False,0.111,0.111,False,FN
