dict_id,kata_asal,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
68,aaddoaa,True,Aaddoaa su medda wiakka ua!,Letakkan makanan itu di meja!,wia nasaddiate su medda.,Makanan sudah tersaji di meja,False,False,False,0.25,0.308,False,FN
68,aadduanna,True,I tou tawe nasau buan aadduanna su hatine,Ia tidak marah walaupun diludahi wajahnya,tou tawe nasau buan ~ su,hatine Ia tidak marah walaupun diludahi diwajahnya,False,False,False,0.463,0.771,False,FN
68,aaggahhanna,True,Taiyakki tuariu indi aaggahhanna mappiapia,Tangan adik sedang dipegang oleh saya erat-erat,aiyakki tuariu indi aaggassanna mappiapia.,Tangan adik sedang saya pegang erat-erat,False,False,False,0.791,0.651,False,FN
68,aaggahhante,True,ate ledane aaggahhante?,Apakah kakinya sudah dipegang?,ate ledane ~?,Apakah kakinya sudah dipegang,False,False,False,0.429,1.0,False,FN
68,aaggasanni,True,Darotongngu riamaata aaggasanni huru ndiamaatta,Harta benda jemaat gereja dipegang oleh guru jemaat,Darotongngu aaggasannu taumata aapangimananna. Harta benda,jemaat dipegang oleh orang yang dipercayai,False,False,False,0.288,0.305,False,FN
68,aaggasannu,True,Darotongngu aaggasannu taumata aapangimananna,Harta benda jemaat dipegang oleh orang yang dipercayai,Darotongngu aaggasannu taumata aapangimananna. Harta benda,jemaat dipegang oleh orang yang dipercayai,False,False,False,0.774,0.733,False,FN
68,addoaa,True,Indi ama wua niwati addoaa su woboa,Kasur yang baru dijemur letakkan di kamar,Pulunnu niwalongnga su woboa. Cucumu,ditidurkan dalam ayunan di kamar,False,False,False,0.2,0.182,False,FN
68,addoaa,True,Roitta nianggilli yamangngu addoaa su patoa,Uang yang ayah berikan simpan di kantong,buniaa su patoa.,Sembunyikan di kantong,False,False,False,0.233,0.293,False,FN
68,addu,True,Manga timmadde nallewa addu ne nipangngu tawe mamala ndroa mabbale,Para orang tua seolah menjilat ludahnya sendiri jika tidak mengizinkan anak-anak bermain bola,Manga timmadde nallewa addu ne nipangngu tawe mamala ndroa mabbale. Para,orang tua seolah menjilat ludahnya sendiri jika tidak mengizinkan anak-anak bermain bola,False,False,True,0.909,0.94,False,FN
68,aggahha,True,Aggahha liman tuarrinu!,Pegang tangan adikmu!,Aggahha liman tuarrinu!,Pegang tangan adikmu,False,True,True,1.0,1.0,False,TP
68,aggahhangku,True,Tatummainna indite aggahhangku,Tongkatnya sudah aku pegang,atummainna indite ~.,Tongkatnya sudah aku pegang,False,False,False,0.552,1.0,False,FN
68,aggahhanni,True,Suratta ua aggahhanni tou su lempanganni tou mialo-mialo,"Kemanapun dia pergi, surat itu dia pegang",Suratta ua ~ tou su lempanganni tou mialo- mialo. Kemana pun dia pergi,surat itu dia pegang,False,False,False,0.486,0.529,False,FN
68,aggahhannu,True,"Buatte ni paatta, tue ua tae aggahhannu","Sudah selesai digunakan, tetapi sendoknya","uatte ni paatta, tue ua tae ~.","Sudah selesai digunakan, tetapi sendoknya tetap kau pegang",False,False,False,0.676,0.745,False,FN
68,aggahhante,True,Limane aggahhante arawe itou tae mabbinsolokka,Tangannya sudah dipegang tetapi dia tetap meronta-ronta,imane ~ arawe itou tae mabbinsolokka.,Tangannya sudah dipegang tetapi dia tetap meronta-ronta,False,False,False,0.674,1.0,False,FN
68,aggassa,True,aggassa liman tuarrinu!,pegang tangan adikmu!,Aggahha liman tuarrinu!,Pegang tangan adikmu,False,False,False,0.667,1.0,False,FN
68,mangaddo,True,Iyau inai mangaddo ndoitta su wale asue,Saya akan menyimpan uang dahulu di rumah,yau inai mangaddo ndoitta su wale asue.,Saya akan menyimpan uang dahulu di rumah,False,False,True,0.973,1.0,False,FN
68,mangaddu,True,I yau iani mangaddu,Saya mau meludah,yau iani mangaddu.,aya mau meludah,False,False,True,0.882,0.929,False,FN
68,mangaggahha,True,I yau mangaggahha limane,Saya yang pegang tangannya,yau mangaggahhalimane.,Saya yang pegang tangannya,False,False,False,0.696,1.0,False,FN
68,mangngaddo,True,I mama mangngaddo n sinangngo su lamari,Ibu sedang menyimpan makanan di lemari,mama mangngaddo n sinangngo su lamari.,Ibu sedang menyimpan makanan di lemari,False,False,True,0.969,1.0,False,FN
68,mangngaddu,True,I tou mangngaddu,Ia sedang meludah,tou mangngaddu,Ia sedang meludah,False,False,True,0.857,1.0,False,FN
68,mangngaggahha,True,"Paellegga, indi i yau mangngaggahha limane","Lihatlah, saya sedang memegang tangannya","aellegga, indi i yau mangngaggahha","limane Lihatlah, saya sedang memegang tangannya",False,False,True,0.816,0.829,False,FN
68,naiaggahha,True,Inene naiaggahha si omma tuttumbe salukka,Nenek minta dituntun oleh paman untuk menyeberang sungai,Inene naiaggahha si omma tuttumbe sal᷊ukka Nenek,minta dituntun oleh paman untuk menyeberang sungai,False,False,True,0.804,0.9,False,FN
68,nangaddo,True,Isai nangaddo tabbao su ayananna?,Siapa yang meletakkan tembakau di tempat duduk?,Isai nangaddo tabbao su ayananna?,Siapa yang meletakkan tembakau di tempat duduk,False,True,True,1.0,1.0,False,TP
68,nangaddu,True,Taumata wagansinangngone nangaddu su saruannu tembonanne,"Orang itu tidak tahu tatakrama, meludah di depan pejabat",Ana’a wagansinangone ṛatangu inangnge rua namangnge babuhanna. Anak yang,tidak tahu tatakrama itu dimarahi habis-habisan oleh ibu dan ayahnya,False,False,False,0.241,0.244,False,FN
68,nangaggahha,True,I yau suete nangaggahha limane,Saya sudah menjabat tangannya,yau mangaggahhalimane.,Saya yang pegang tangannya,False,False,False,0.438,0.306,False,FN
68,niaddo,True,Araposa u niaddo suapa?,Topi saya diletakkan di mana?,disimpan Araposa u niaddo suapa?,Topi saya diletakkan di mana,False,False,False,0.69,1.0,False,FN
68,niadduanna,True,I yassa niadduanna mai,"Kasihan, dia diludahi",yassa niadduanna mai. Kasihan,dia diludahi,False,False,False,0.621,0.556,False,FN
68,niaggahhi,True,Lima u niaggahhi papa,Tanganku dipegang oleh ayah,yau mangaggahhalimane.,Saya yang pegang tangannya,False,False,False,0.194,0.229,False,FN
68,niaggahhu,True,Pua u niaggahhu presidenna,Kepalaku dipegang oleh presiden,Sabua u niapaolaa si,tete. Pondokku dikerjakan oleh kakek,False,False,False,0.167,0.125,False,FN
68,niapaaddo,True,Roiu niapaaddo si o anu o anggila ci mama,Uang yang saya suruh kamu simpan tolong diambil dan serahkan kepada ibu,alralruassa u mawu nianggi ci ite.,Berkat Tuhan yang diberikan kepada kita,False,False,False,0.158,0.179,False,FN
68,niapaaddu,True,Itete niapaaddu wakkute ua niapawisara,Kakek disuruh meludahkan pinang baru boleh berbicara,Itete niapaaddu wakkute ua niapawisara Kakek,disuruh meludahkan pinang baru boleh berbicara,False,False,True,0.838,0.88,False,FN
68,niapaaggahha,True,Roitta wurru wulawanna niapaaggahha su tuari u wawine,Uang dan emas disuruh pegang oleh adik perempuan],Tuari u niapaawitta su rangketta.,Adikku disuruh naik ke loteng,False,False,False,0.3,0.169,False,FN
68,paiaggahha,True,Tuari paiaggahha siaangngu,Adik minta dipegang sama kakak,Aggahha liman tuarrinu!,Pegang tangan adikmu,False,False,False,0.222,0.194,False,FN
68,pangaggahha,True,Su amatanna pangaggahha tantiro Mawu,"Di perjalanan saat merantau, peganglah firman Tuhan",amatta su lalannu mawu.,Jalanlah di jalan Tuhan,False,False,False,0.152,0.226,False,FN
68,papaaddoaa,True,Laubbi papa wakku niwallianna papaaddoaa si mamanu,Baju ayah yang baru dibeli minta disimpan ibu,Laubbi papa wakku niwallianna papaaddoaa si mamanu.,Baju ayah yang baru dibeli minta disimpan ibu,False,True,True,1.0,1.0,False,TP
68,papaadduaa,True,Ipapa papaadduaa su lima anasee pulung galele aaggasanna mapia,Ayah meludahi telapak tangannya sebelum ia memegang parang agar erat pegangannya,Ipapa papaadduaa su lima anasee pulung galele aaggasanna mapia. Ayah,meludahi telapak tangannya sebelum dia memegang parang agar erat pegangannya,False,False,True,0.906,0.866,False,FN
68,uaaaddu,True,Elle wowa pulunna rarua uaaaddu!,Lihat kedua cucumu saling meludahi!,Elle wowa pulunna rarua uaaaddu!,Lihat kedua cucumu saling meludahi,False,True,True,1.0,1.0,False,TP
68,uaaaggahha,True,Iyaha rua tatuari wuahhu hiola naoma mbale uaaaggahha,Lima kakak-beradik itu sejak keluar sekolah sampai di rumah saling berpegangan tangan,Aggahha liman tuarrinu!,Pegang tangan adikmu,False,False,False,0.129,0.141,False,FN
68,uaaggahha,True,Isai uaaggahha roittu awadaalla?,Siapa yang memegang uang warga?,Isai uaaggahha roittu awadaalla?,Siapa yang memegang uang warga,False,True,True,1.0,1.0,False,TP
68,yappaaddo,True,Araposa I yappaaddo mpapa su woboa ntou,Topi ini ayah suruh simpan di kamarnya,Araposa yappaaddo mpapa su woboa ntou.,Topi ini ayah suruh simpan di kamarnya,False,False,True,0.895,1.0,False,FN
68,yappaaggahha,True,Darorongngu timmadde roittu awadaalla yappaaggahha si nora,Sesuai permintaan para tetua uang warga diminta istri guru yang memegang,Darorongngu timmadde roittu awadaalla yappaaggahha si nora. Sesuai permintaan,para tetua uang warga diminta istri guru yang memegang,False,False,False,0.747,0.766,False,FN
68,aaggassalima,True,Indi roitta marasutta aaggassalima lima suandeangngu anai turangngu.,uang seratus ribu rupiah ini sebagai buah tangan untuk anak saudaramu yang berpesta,Indi roitta marasutta ~ lima su andeangngu anai turangngu. Uang seratus ribu rupiah,ini sbgbuah tangan untuk anak saudaramu yang berpesta,False,False,False,0.524,0.575,False,FN
68,aahe,True,"i tou mai, namile aahe marruala",dia memilih ajakan anak gadis,tou mai,namile ~ marruala. ia memilih ajakan anak gadis,False,False,False,0.179,0.578,False,FN
68,aahei,True,aahei ude tuarinu,ajaklah adikmu,aahei ude tuarinu,ajaklah adikmu,True,True,True,1.0,1.0,False,TP
68,aahutan,True,Mangga sambau aahutan gngu sire tallu.,Sebutir mangga dimakan bersama oleh tiga orang dengan mengeratnya secara bergiliran,Mangga sambau aahutangngu sire tallu. Sebutir mangga dimakan,bersama oleh tiga orang dengan mengeratnya secara bergiliran,False,False,False,0.582,0.74,False,FN
68,aahutta,True,-,-,,,False,False,False,0.0,0.0,False,FN
68,aai,True,-,-,,,False,False,False,0.0,0.0,False,FN
68,ahe,True,-,-,,,False,False,False,0.0,0.0,False,FN
