dict_id,source_lemma,main_lemma,kalimat_asal,kalimat_tujuan,pos
24,ambang,ambang,inyo tibo di ambang patang,dia datang di ambang sore,n
24,babacoan,baco,alah babacoan surek tu ka amak,sudah dibacakan surat itu kepada ibu,v
24,babani,baban,babani inyo jo tugas barek,bebani dia dengan tugas berat,v
24,babaso,baso,babaso lah saketek makan,berbasalah sedikit makan,v
24,bacilalek,cilalek,mukonyo bacilalek,mukanya bertahi lalat,v
24,bacoreang-coreang,coreang,karajonyo bacoreang-coreang,kerjanya bercoret-coret,v
24,badarah,darah,badarah kakinyo tapijak kaco,berdarah kakinya terinjak kaca,v
24,badasarkan,dasar,badasarkan pandapek ambo tadi,berdasarkan pendapatku tadi,v
24,badebaik,debaik,inyo badebaik jo gurunyo,dia berdebat dengan gurunya,v
24,badempekan,dempek,duduak badempekan,duduk berdempetan,v
24,bagaruiki,garuik,bagaruiki pungguangnyo,digaruki punggungnya,v
24,bagili,gili,berang inyo bagili,marah ia digelitik,v
24,bakodek,kodek,nyo bakodek ka pasa,dia memakai kain panjang ke pasar,v
24,balabiah,labiah,balabiah limo buah,berlebih lima buah,v
24,ban,ban,alah malatuih ban karetangin den,sudah meletus ban sepeda saya,n
24,baransua,ansua,baransua pulang,berangsur pulang,v
24,basalero,salero,aden indak basalero makan doh,saya tidak bernafsu makan,v
24,basuahan,basuah,basuahan tangan adiak tu dulu,cucikan tangan adik itu dahulu,v
24,bataranak,taranak,karajonyo bataranak jawi,kerjanya berternak sapi,v
24,bor,bor,ambiak bor panggiriak basi ko,ambil bor pelubang besi ini,n
24,dempekan,dempek,dempekan karate tu,dempetkan kertas itu,v
24,didirian,diri,Balai Desa didirian tahun ...,Balai Desa didirikan tahun ...,v
24,digambok,gambok,alah digambok pintu tu,sudah dikunci pintu itu,v
24,dikabiri,kabiri,laki si Ani alah dikabiri,suami si Ani sudah dikebiri,v
24,diosong-osong,osong,diosong-osongnyo juo kotak tu,diusung-usungnya juga kotak itu,v
24,dipabaharui,baru,rumah tu alah dipabaharui nyo,rumah itu sudah diperbaharuinya,v
24,dipalantai,panlanta,lapau kopi tu lai dipalantai,kedai kopi itu diberi pelanta,v
24,dirancakan,rancak,dirancakan lah saketek,dibaguskan sedikit,v
24,garuih,garuih,tampak garuih nyo,tampak goresnya,n
24,jalang,jalang,jalang lah mintuo kau,kunjungilah mertuamu,v
24,kalambu,kalambu,memasang kalambu,memasang kelambu,n
24,kanyang,kanyang,kanyang parauknyo,kenyang perutnya,a
24,korong,korong,korong iko,kampung ini,n
24,mada,mada,anak tu mada bana,anak itu keras kepala benar,a
24,makan,makan,makan ubi,makan ubu,v
24,makin,makin,makin gadang makin manjadi parangainyo,makin besar makin menjadi-jadi kelakuannya,adv
24,malambaian,lambai,malambaian sapu tangan,melambaikan sapu tangan,v
24,mambongka,bongka,inyo mambongka muatan oto,dia membongkar muatan mobil,v
24,mambuduik,buduik,jan mambuduik juo kapadonyo,jangan marah juga kepadanya,v
24,mamburuan,buru,mamburuan karajo,mengejarkan kerja,v
24,mamparanakan,anak,karajo Mak Ani mamparanakan pitih,kerja Mak Ani membungakan uang,n
24,manempean,tempe,manempean karateh ka dindiang,menempelkan kertas ke dinding,v
24,mangikua,kukua,mangikua kalapo,mengikur kelapa,v
24,manjo,manjo,anak manjo,anak manja,a
24,manuduangi,tuduang,anak tu manuduangi amaknyo jo payuang,anak itu menudungi ibunya dengan payung,v
24,marusuahan,rasuah,ibu marusuahan adiak nan sakik,ibu merusuhkan adik yang sakit,v
24,muekan,muek,muekan panuah-panuah,muatkan penuh-penuh,v
24,muluik,muluik,mancuci muluik,mencuci mulut,n
24,muncua,muncua,muncua ikan gadang,muncul ikan besar,v
24,pabukoan,buko,amak mambuek pabukoan,ibu membuat perbukaan,v
24,pacuan,pacu,pacuan kudo,tempat pacuan kuda,v
24,panyolang,solang,inyo panyolang kecek urang gadang,dia suka membantah pembicaraan orang dewasa,a
24,parah,parah,parah santan tu,peras santan itu,v
24,pasoalan,soal,apo pasoalannyo,apa persoalannya,n
24,pindah,aliah,pindah carito ka nan lain,pindahkan cerita kepada yang lain,v
24,sabalah,sabalah,mato ambo sabalah kida ko bangkak,mata saya sebelah kiri ini bengkak,adv
24,sabuang,sabuang,inyo tukang sabuang ayam,dia adalah tukang sabung ayam,v
24,samantangpun,samantang,samantangpun inyo kayo awak indak mamintak ka inyo doh,"sekalipun dia kaya, kita tidak akan meminta kepadanya",adv
24,sanjo,sanjo,ari alah sanjo,hari sudah senja,n
24,saudagar,saudagar,saudagar kayo,saudagar kaya,n
24,siosio,siosio,siosio manuruiknyo,sia-sia menurutnya,adv
24,sobokan,sobok,sobokan lah bareh tu,campurkanlah beras itu,v
24,som,som,som kain tu indak elok,som kain itu tidak baik,n
24,taabihan,abih,taabihan kue sabanyakko dek ang,terhabiskan kue sebanyak itu olehmu,v
24,tabinasoan,binaso,lai tabinasoan kasadonyo,ada terbinasakan semuanya,v
24,takalek,kalek,agak takalek rasonyo,agak terpahit rasanya,a
24,takan,takan,takan tombolnyo,tekan tombolnya,v
24,talok,talok,indak talok den maangkeknyo,tidak kuat saya mpngangkatnya,a
24,tarokoki,rokok,lai tarokoki deknyo,adakah tererami olehnya,v
24,tungau,tungau,digigik tungau,digigit ulat kecil,n
24,ubeki,ubek,ubeki batuaknyo,obati batuknya,v
24,umanaikan,umanaik,umanaikan ka anak ang,amanatkan kepada anakmu,v
24,umbuakan,umbuak,umbuakan supayo inyo namuah pai,bujukkan supaya ia mau pergi,v
