source_lemma,iaa_outcome,c_has_pair,a_has_pair,c_kalimat_asal,a_kalimat_asal,c_kalimat_tujuan,a_kalimat_tujuan,match_asal_strict,match_asal_normalized,match_asal_fuzzy,match_asal_fuzzy_score,match_tujuan_strict,match_tujuan_normalized,match_tujuan_fuzzy,match_tujuan_fuzzy_score,concatenation_candidate,outcome
ambang,agreed_extracted_match,True,False,inyo tibo di ambang patang,,dia datang di ambang sore,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
babacoan,agreed_extracted_match,True,True,alah babacoan surek tu ka amak,"alah su- rek ru ka a,nak,",sudah dibacakan surat itu kepada ibu,sudah dibacakãn,False,False,False,0.25,False,False,False,0.306,False,wrong_extraction
babani,agreed_extracted_match,True,True,babani inyo jo tugas barek,"inyo Jo tugas barek, bebani dia dengan tugas berat; babanan",bebani dia dengan tugas berat,"v bebankan: tugas ko ka inyo, bebankan tugas ml kepa- danya",False,False,False,0.44,False,False,False,0.18,True,wrong_extraction
babaso,agreed_extracted_match,True,True,babaso lah saketek makan,ah saketek makan,berbasalah sedikit makan,berbasalah sedikit makan,False,False,False,0.636,True,True,True,1.0,False,wrong_extraction
bacilalek,agreed_extracted_match,True,True,mukonyo bacilalek,muko- nyo,mukanya bertahi lalat,mukanya bertahi lalat ciiiangnbabi,False,False,False,0.158,False,False,False,0.594,False,wrong_extraction
bacoreang-coreang,agreed_extracted_match,True,True,karajonyo bacoreang-coreang,kara/onyo '-',kerjanya bercoret-coret,kerjanya berco- ret-coret,False,False,False,0.2,False,False,True,0.818,False,wrong_extraction
badarah,agreed_extracted_match,True,True,badarah kakinyo tapijak kaco,kakim'o zapijak kaco,berdarah kakinya terinjak kaca,berdarah kakinya terinjak kaca,False,False,False,0.344,True,True,True,1.0,False,wrong_extraction
badasarkan,agreed_extracted_match,True,False,badasarkan pandapek ambo tadi,,berdasarkan pendapatku tadi,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
badebaik,agreed_extracted_match,True,False,inyo badebaik jo gurunyo,,dia berdebat dengan gurunya,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
badempekan,agreed_extracted_match,True,False,duduak badempekan,,duduk berdempetan,,False,False,False,0.0,False,False,False,0.0,False,missed_lemma
