source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
ambang,agreed_extracted_match,True,inyo tibo di ambang patang,dia datang di ambang sore,inyo datang indak diundang,ia datang ti- dak diundang,False,False,False,0.25,0.265,False,FN
babacoan,agreed_extracted_match,True,alah babacoan surek tu ka amak,sudah dibacakan surat itu kepada ibu,lai surek tu,adakah direkat surat itu,False,False,False,0.226,0.31,False,FN
babani,agreed_extracted_match,True,babani inyo jo tugas barek,bebani dia dengan tugas berat,inyo Jo amaknyo,dia berdebatan de- ngan ibunya,False,False,False,0.2,0.2,False,FN
babaso,agreed_extracted_match,True,babaso lah saketek makan,berbasalah sedikit makan,ah saketek makan,berbasalah sedikit makan,False,False,False,0.636,1.0,False,FN
bacilalek,agreed_extracted_match,True,mukonyo bacilalek,mukanya bertahi lalat,mukonyo ',mukanya ditutup,False,False,False,0.333,0.231,False,FN
bacoreang-coreang,agreed_extracted_match,True,karajonyo bacoreang-coreang,kerjanya bercoret-coret,kara/onyo 'bacoreang-coreang',kerjanya berco- ret-coret,False,False,False,0.577,0.818,False,FN
badarah,agreed_extracted_match,True,badarah kakinyo tapijak kaco,berdarah kakinya terinjak kaca,kakim'o zapijak kaco,berdarah kakinya terinjak kaca,False,False,False,0.344,1.0,False,FN
badasarkan,agreed_extracted_match,True,badasarkan pandapek ambo tadi,berdasarkan pendapatku tadi,batua pandapek tu,betul pendapat itu,False,False,False,0.235,0.206,False,FN
badebaik,agreed_extracted_match,True,inyo badebaik jo gurunyo,dia berdebat dengan gurunya,inyo v berdebaik'fo gurunyo,dia berdebat dengan gurunya,False,False,False,0.406,1.0,False,FN
badempekan,agreed_extracted_match,True,duduak badempekan,duduk berdempetan,duduak 'bamanuang',duduk bermenung,False,False,False,0.2,0.333,False,FN
bagaruiki,agreed_extracted_match,True,bagaruiki pungguangnyo,digaruki punggungnya,ba/unyo ro- b.ek di pungguak,bajunya robek di pung- gung,False,False,False,0.211,0.171,False,FN
bagili,agreed_extracted_match,True,berang inyo bagili,marah ia digelitik,berang inyo ',marah ia digeitik,False,False,False,0.562,0.722,False,FN
bakodek,agreed_extracted_match,True,nyo bakodek ka pasa,dia memakai kain panjang ke pasar,ka pasa,didagangkan ke pasa,False,False,False,0.294,0.179,False,FN
balabiah,agreed_extracted_match,True,balabiah limo buah,berlebih lima buah,limo buah,berlebih lima buah,False,False,False,0.438,1.0,False,FN
ban,agreed_extracted_match,True,alah malatuih ban karetangin den,sudah meletus ban sepeda saya,u/an alah marado,hujan sudah mereda,False,False,False,0.162,0.265,False,FN
baransua,agreed_extracted_match,True,baransua pulang,berangsur pulang,pulang • berangsur,pulang,False,False,False,0.217,0.308,False,FN
basalero,agreed_extracted_match,True,aden indak basalero makan doh,saya tidak bernafsu makan,a- den indak '' inakan doh,saya tidak bernafsu makan,False,False,False,0.389,1.0,False,FN
basuahan,agreed_extracted_match,True,basuahan tangan adiak tu dulu,cucikan tangan adik itu dahulu,basuab lah tangan Lu dulu,cucilah tangan itU dahulu,False,False,False,0.361,0.515,False,FN
bataranak,agreed_extracted_match,True,karajonyo bataranak jawi,kerjanya berternak sapi,dek ambo karajonyo,tercontoh oleh saya kerjanya,False,False,False,0.233,0.237,False,FN
bor,agreed_extracted_match,True,ambiak bor panggiriak basi ko,ambil bor pelubang besi ini,ambiak bor panggiriak ba- si ko,ambil bor pelubang besi mi,False,False,True,0.786,0.815,False,FN
dempekan,agreed_extracted_match,True,dempekan karate tu,dempetkan kertas itu,jan kara- teh tu,jangan tebarkan kertas itu,False,False,False,0.25,0.414,False,FN
didirian,agreed_extracted_match,True,Balai Desa didirian tahun ...,Balai Desa didirikan tahun ...,dirian i dirikan lapau di tan,dirian i dirikan,False,False,False,0.211,0.286,False,FN
digambok,agreed_extracted_match,True,alah digambok pintu tu,sudah dikunci pintu itu,gambok pintu,kunci pintu,False,False,False,0.5,0.429,False,FN
dikabiri,agreed_extracted_match,True,laki si Ani alah dikabiri,suami si Ani sudah dikebiri,laki si Ani ala/i,suami si Ani sudah dikebi- Ii,False,False,False,0.5,0.786,False,FN
diosong-osong,agreed_extracted_match,True,diosong-osongnyo juo kotak tu,diusung-usungnya juga kotak itu,nyo juo kotak t14,diusung-usungnya juga kotak itu,False,False,False,0.5,1.0,False,FN
dipabaharui,agreed_extracted_match,True,rumah tu alah dipabaharui nyo,rumah itu sudah diperbaharuinya,n- mali tu alah nyo,rumah itu su- dah diperbaharuinya,False,False,False,0.265,0.812,False,FN
dipalantai,agreed_extracted_match,True,lapau kopi tu lai dipalantai,kedai kopi itu diberi pelanta,kopi tu,pekatkanx kopi itu,False,False,False,0.192,0.194,False,FN
dirancakan,agreed_extracted_match,True,dirancakan lah saketek,dibaguskan sedikit,lah saketek,dibaguskan sedikit,False,False,False,0.45,1.0,False,FN
garuih,agreed_extracted_match,True,tampak garuih nyo,tampak goresnya,tampak,gores nyo,False,False,False,0.267,0.176,False,FN
jalang,agreed_extracted_match,True,jalang lah mintuo kau,kunjungilah mertuamu,u/an alah marado,hujan sudah mereda,False,False,False,0.138,0.133,False,FN
kalambu,agreed_extracted_match,True,memasang kalambu,memasang kelambu,memasang marawa,me- masang marawa,False,False,False,0.35,0.217,False,FN
kanyang,agreed_extracted_match,True,kanyang parauknyo,kenyang perutnya,kañyang parauknyo,kenyang perutnya; manganyangan v mengenyangkan,False,False,False,0.667,0.394,True,FN
korong,agreed_extracted_match,True,korong iko,kampung ini,korong iko,kampung in,False,False,True,1.0,0.889,False,FN
mada,agreed_extracted_match,True,anak tu mada bana,anak itu keras kepala benar,anak tu bang,anak itu penyapa benar,False,False,False,0.5,0.375,False,FN
makan,agreed_extracted_match,True,makan ubi,makan ubu,makan sajiur,makan sahur,False,False,False,0.308,0.333,False,FN
makin,agreed_extracted_match,True,makin gadang makin manjadi parangainyo,makin besar makin menjadi-jadi kelakuannya,makin gadang makin man- 'fadi parangainyo,makin besar ma- kin menjadli-jadi kelakuannya,False,False,True,0.75,0.805,False,FN
malambaian,agreed_extracted_match,True,malambaian sapu tangan,melambaikan sapu tangan,sa- Pu tangan,melambaikan sapu ta- ngan,False,False,False,0.292,0.76,False,FN
mambongka,agreed_extracted_match,True,inyo mambongka muatan oto,dia membongkar muatan mobil,ifl)'() muatan oto,dia membongkar muatan mobil,False,False,False,0.3,1.0,False,FN
mambuduik,agreed_extracted_match,True,jan mambuduik juo kapadonyo,jangan marah juga kepadanya,fan ' fuo kapadonyo,jangan marah juga ke- pádanya,False,False,False,0.355,0.677,False,FN
mamburuan,agreed_extracted_match,True,mamburuan karajo,mengejarkan kerja,karajo kawan,mencemoohkan kerja teman,False,False,False,0.263,0.276,False,FN
mamparanakan,agreed_extracted_match,True,karajo Mak Ani mamparanakan pitih,kerja Mak Ani membungakan uang,karajo Mak Ani pitih,kerja Mak Ani membungakan uang,False,False,False,0.567,1.0,False,FN
