source_lemma,iaa_outcome,c_has_pair,c_kalimat_asal,c_kalimat_tujuan,best_a_kalimat_asal,best_a_kalimat_tujuan,match_strict,match_normalized,match_fuzzy,best_asal_fuzzy_score,best_tuj_fuzzy_score,concatenation_candidate,outcome
agak,agreed_extracted_match,True,kelihatannya ia agak pintar,kelihatannyo diok agak padek,'kelihatannyo diok agak padek,kelihatannya ia agak pintar,False,False,False,0.378,0.378,False,FN
ahli,agreed_extracted_match,True,dia seorang yg ahli menjalankan mesin itu,dio soghang yg padek nyalankan mesin itu,'dio soghang yg padek nyalankan mesin itu,dia seorangyg ahii menjalankan mesin itu,False,False,False,0.357,0.293,False,FN
ampun,agreed_extracted_match,True,setelah ia menyadari akan kesalahannya ia mina ampun,setelah dio nyadaghi akan kesalahannyo dio minta ampun,'setelah dio nyadaghi akan kesalahannyo dio minta ampun,setelah ia menyadari akan kesalahannya ia mina,False,False,False,0.5,0.426,False,FN
atau,agreed_extracted_match,True,"Anda boleh memilih yg mana saja majalah, buletin atau surat kabar","kau bole milih yg mano be majalah, bulatin atau sughat kabagh","'kau bole milih yg mano be majalah, bulatin atau sughat kabagh","Anda boleh memilih yg mana saja majalah, buletin atau surat kabar,",False,False,False,0.463,0.463,False,FN
badan,agreed_extracted_match,True,pulang main badan anak itu selalu kotor,balik main badan budak itu selalu kotogh,'balik main badan budak itu selalu kotogh,pulang main badan anak itu selalu kotor,False,False,False,0.542,0.542,False,FN
bahwa,agreed_extracted_match,True,ia mengira bahwa hari ini libur,dio ngigho bahwo haghi ko libugh,'dio ngigho bahwo haghi ko libugh,ia mengira bahwa hari mi libur,False,False,False,0.157,0.16,False,FN
baik,agreed_extracted_match,True,karangan bunga itu baik sekali,kaghangan bungo itu elok nian,'kaghangan bungo itu elok nian,karangan bunga itu baik sekali,False,False,False,0.256,0.256,False,FN
banditisme,agreed_extracted_match,True,operasi thd banditisme di ibu kota ditingkatkan,opeghasi teghhadap banditisme di ibu kota ditingkatkan,'pembinaan kadegh peghlu ditingkatkan,penggemblengan kader perlu ditingkatkan,False,False,False,0.172,0.151,False,FN
bapak,agreed_extracted_match,True,ia baru saja datang habis mengunjungi bapaknya di kampung,dio baghu datang habis ngunjungi bapaknyo di kampung,'dio baghu datang habis ngunjungi bapaknyo di kampung,ia baru saja datang habis mengunjungi bapak-nya di kampung,False,False,False,0.538,0.485,False,FN
benang,agreed_extracted_match,True,menegakkan benang basah,negakkan benang basa,'negakkan benang basa,menegakkan benang basah,False,False,True,0.857,0.857,False,FN
berbagai-bagai,agreed_extracted_match,True,berbagai-bagai bunga di taman,bamacam-macam kembang di taman,'bamacam- macam kembang di taman,berbagai-bagai bamacam-macam bunga di taman,False,False,False,0.167,0.349,False,FN
berbintik-bintik,agreed_extracted_match,True,kulitnya berbintik-bintik,kulitnyo babintik-bintik,'kulitnyo babintik-bintik,kulitnyz berbintik-bintik,False,False,False,0.48,0.48,False,FN
bergaung,agreed_extracted_match,True,dl gedung yg besar itu bunyi akan bergaung juga,dl gedung yg besak itu bunyi akan bagema jugo,'dl gedung yg besak itu bunyi akan bagema jugo,dl gedung yg besar itu bunyi akan bergaung juga,False,False,False,0.604,0.604,False,FN
berkilat,agreed_extracted_match,True,lantai itu berkilat setelah dibersihkan,lante tu bakilat satelah dibeghsihkan,'kaghno lamo dak dibeghsihkan lampu itu sawangan,krn lama tidak dibersihkan lampu itu ber-jelaga,False,False,False,0.145,0.152,False,FN
bibit,agreed_extracted_match,True,jagung yg tua itu bagus untuk bibit,jagung yg tuo itu elok untuk benne,'jagung yg tuo itu elok untuk benne,jagung yg tua itu bagus untuk bibit,False,False,False,0.422,0.422,False,FN
bilas,agreed_extracted_match,True,bilaslah pakaian yg sudah disabun,bilasla pakean yg la disabun,'bilasla pakean yg la disabun,bilas-la/i pakaian yg sudah disabun,False,False,False,0.447,0.349,False,FN
bimbang,agreed_extracted_match,True,ia masih bimbang menerima usul itu,dio masi bimbang neghimo usul itu,'dio masi bimbang neghimo usul itu,ia masih bimbang menerima usul itu,False,False,False,0.37,0.37,False,FN
bingkai,agreed_extracted_match,True,bingkai papan tulis itu sudah rusak,bingke papan tulis itu la ghusak,'bingke papan tulis itu la ghusak,bingkai papan tulis itu sudah rusak,False,False,False,0.465,0.465,False,FN
bros,agreed_extracted_match,True,bros yg dipakainya bagus sekali,bghos yg dipakenyo elok nian,'bghos yg dipakenyo elok nian,bros yg dipakainya bagus sekali,False,False,False,0.196,0.196,False,FN
bungalo,agreed_extracted_match,True,waktu libur semester kami menginap di bungalo,waktu libugh semestegh kami nginap di bungalo,'waktu libugh semestegh kanii nginap di bungalo,waktu libur semester kami menginap di bungaio,False,False,False,0.536,0.574,False,FN
dekadensi,agreed_extracted_match,True,seni sastra Indonesia mengalami dekadensi,seni sastgha Indonesia ngalami dekadensi,'seni sastgha Indonesia ngalami dekadensi,seni sastra Indonesia mengalami dekadensi,False,False,False,0.711,0.711,False,FN
demam,agreed_extracted_match,True,semalam saya demam,smalam sayo demam,'smalam sayo demam,semalam soya demam,False,False,False,0.579,0.429,False,FN
