source_lemma,iaa_outcome,pos_a1,pos_a2,pos_annotator_agree,morph_pos,morph_source,morph_matches_a1,morph_matches_a2
aku,disagree_content,pron,pron,True,,missing,False,False
baaakalan,agreed_no_pair,v,v,True,v,form,True,True
bahahar,disagree_content,adv,adv,True,,missing,False,False
bahampul,disagree_content,a,a,True,,missing,False,False
bahulat,disagree_content,v,v,True,,missing,False,False
baikam,agreed_extracted_match,v,v,True,v,form,True,True
baingsut,disagree_content,v,v,True,,missing,False,False
baitukan,agreed_extracted_match,v,v,True,v,form,True,True
bakabun,disagree_content,v,v,True,v,form,True,True
bakaduh,disagree_content,v,v,True,,missing,False,False
bakajut,disagree_content,v,v,True,v,form,True,True
bakalupus,disagree_content,v,v,True,,missing,False,False
bakarujut,disagree_content,v,v,True,v,form,True,True
bakarum,agreed_extracted_match,adv,adv,True,adv,form,True,True
bakasudahan,agreed_extracted_match,v,v,True,n,form,False,False
bakunal,disagree_content,v,v,True,v,form,True,True
bakusai,agreed_extracted_match,v,v,True,,missing,False,False
balimpua,agreed_extracted_match,v,v,True,,missing,False,False
bamal,disagree_content,v,v,True,v,form,True,True
banakal,disagree_content,v,v,True,,missing,False,False
bangkit,agreed_extracted_match,v,v,True,n,kata,False,False
banyiur,agreed_no_pair,n,n,True,n,form,True,True
bapamantang,agreed_extracted_match,v,v,True,,missing,False,False
bapikah,disagree_content,adv,adv,True,adv,form,True,True
baruntai,disagree_content,v,v,True,v,form,True,True
basandar,agreed_extracted_match,v,v,True,v,form,True,True
batangga,agreed_not_found,,,False,v,form,False,False
batasbih,disagree_content,v,v,True,v,form,True,True
batumbang,disagree_extract,v,v,True,n,form,False,False
batunjul,disagree_content,v,v,True,,missing,False,False
bisa,disagree_content,v,v,True,,missing,False,False
bulirit,disagree_content,v,v,True,,missing,False,False
bungul,disagree_content,a,a,True,,missing,False,False
cangang,disagree_content,v,v,True,v,kata,True,True
cundai,disagree_content,a,a,True,adv,kata,False,False
gaak,agreed_not_found,,,False,,missing,False,False
gapit,agreed_extracted_match,v,v,True,adv,kata,False,False
harit,agreed_extracted_match,v,v,True,v,kata,True,True
jimpulut,agreed_extracted_match,v,v,True,,missing,False,False
juhung,agreed_extracted_match,v,v,True,,missing,False,False
kakaca,agreed_not_found,,,False,,missing,False,False
kalanjaran,agreed_extracted_match,adv,adv,True,,missing,False,False
kalanjian,disagree_content,a,a,True,a,form,True,True
kapadihan,agreed_extracted_match,a,a,True,,missing,False,False
kapau,agreed_extracted_match,adv,adv,True,adv,form,True,True
kapuhunan,agreed_extracted_match,v,v,True,,missing,False,False
karubuti,disagree_content,v,v,True,,missing,False,False
lanji,disagree_content,a,a,True,adv,kata,False,False
maanginakan,disagree_content,v,v,True,v,form,True,True
magaas,disagree_content,v,v,True,v,form,True,True
maharaakan,agreed_extracted_match,v,v,True,,missing,False,False
mahawar,disagree_extract,v,v,True,v,form,True,True
mahayaakan,disagree_content,v,v,True,v,form,True,True
mahinamakan,agreed_extracted_match,v,v,True,,missing,False,False
malah,agreed_extracted_match,a,a,True,,missing,False,False
malambar,disagree_content,v,v,True,,missing,False,False
manangkiwang,agreed_extracted_match,v,v,True,,missing,False,False
mancucul,disagree_content,v,v,True,,missing,False,False
mandam,disagree_content,v,v,True,,missing,False,False
manggahiak,agreed_extracted_match,a,a,True,,missing,False,False
manggusari,agreed_extracted_match,v,v,True,v,form,True,True
mangit,disagree_content,a,a,True,,missing,False,False
manjurak,disagree_content,v,v,True,v,form,True,True
manyangka,disagree_content,v,v,True,v,form,True,True
manyintar,agreed_extracted_match,v,v,True,v,form,True,True
manyugihakan,disagree_content,v,v,True,v,form,True,True
marandakakan,disagree_content,v,v,True,v,form,True,True
maungkum,agreed_extracted_match,v,v,True,v,form,True,True
mumuk,agreed_extracted_match,a,a,True,,missing,False,False
ngangar,agreed_extracted_match,n,n,True,v,kata,False,False
pamurahnya,agreed_extracted_match,a,a,True,,missing,False,False
pancatan,agreed_extracted_match,v,v,True,v,form,True,True
pangicuhnya,agreed_extracted_match,a,a,True,a,form,True,True
pingkut,disagree_content,v,v,True,v,form,True,True
purna,agreed_extracted_match,a,a,True,,missing,False,False
purun,agreed_extracted_match,a,a,True,v,kata,False,False
pusut,disagree_content,v,v,True,v,kata,True,True
sahut,agreed_extracted_match,v,v,True,,missing,False,False
salamatan,disagree_content,adv,adv,True,adv,form,True,True
sasambahan,agreed_not_found,,,False,n,form,False,False
sing janakan,disagree_content,,,False,,missing,False,False
sirangsiruk,agreed_extracted_match,a,a,True,,missing,False,False
taat,agreed_extracted_match,v,v,True,v,kata,True,True
tabair,disagree_content,v,v,True,v,form,True,True
